,Kaufpreis,Zimmer,Wohnfläche ca.,Street,City,Anbieter,Wohnungslage,Bezug,Description,Wohnanlage,Baujahr:,Energy,Energy2,Lage,Price&Kosten,"('Baujahr:',)",Wohnfläche,Zustand:,"('Zustand:',)",3,Personenaufzug,"('Anbieter',)",2,,"('Personenaufzug',)",Mindestpreis,Stellplatz:,1
0,225.000 €,2," 56,90 m²",Straße nicht freigegeben,81669 München  (Au-Haidhausen),Gewerblicher,6,Bezugsofort,"Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden, Kunststoffboden, Teppichboden Zustand: renovierungsbedürftig / sanierungsbedürftig Weitere Räume: Kelleranteil, Wasch-Trockenraum Haustiere erlaubt ",Baujahr: 1973 Personenaufzug ,1973,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1973Gültigkeit bis 31.01.2028 EffizienzklasseDEndenergieverbrauch 106,00 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartZentralheizung,"HAIDHAUSEN - S-BahnnäheKneipen, Kultur, Kinder und die Isar in nächster Nähe. Mehr als 1.200 Jahre ist Haidhausen alt und damit deutlich älter als München. Früher lebten hier die kleinen Leute, inzwischen zählt das Viertel mit den vielen Cafés und kleinen Läden zu den beliebtesten Wohngegenden. In Haidhausen...","HAIDHAUSEN - S-BahnnäheKneipen, Kultur, Kinder und die Isar in nächster Nähe. Mehr als 1.200 Jahre ist Haidhausen alt und damit deutlich älter als München. Früher lebten hier die kleinen Leute, inzwischen zählt das Viertel mit den vielen Cafés und kleinen Läden zu den beliebtesten Wohngegenden. In Haidhausen...",,,,,,,,,,,,,
1,799.000 €,4, 95 m²,Straße nicht freigegeben,81825 München  (Trudering-Riem),Gewerblicher,1,Bezugnach Vereinbarung,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten Einbauküche Böden: Fliesenboden Zustand: gepflegt Weitere Räume: Kelleranteil ",Baujahr: 1990 Zustand: Altbau (bis 1945) 1 Stellplatz: Duplex ,1990,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1990Wesentliche EnergieträgerGasEffizienzklasseDEndenergieverbrauch 124,90 kWh/(m²·a)  ",EnergieträgerGas,TruderingDer beliebte Stadtteil Trudering im Münchner Südosten bietet neben aktiver und sportlicher Freizeitgestaltung auch zahlreiche Erholungsmöglichkeiten. So lädt die Nähe zum Riemer See an heißen Tagen zum Abkühlen ein und der Wellnessbereich im nahe gelegenen Michaelibad bietet Entspannung pur. Alle wichtigen...,TruderingDer beliebte Stadtteil Trudering im Münchner Südosten bietet neben aktiver und sportlicher Freizeitgestaltung auch zahlreiche Erholungsmöglichkeiten. So lädt die Nähe zum Riemer See an heißen Tagen zum Abkühlen ein und der Wellnessbereich im nahe gelegenen Michaelibad bietet Entspannung pur. Alle wichtigen...,,,,,,,,,,,,,
2,225.000 €,2," 56,90 m²",Straße nicht freigegeben,81669 München  (Au-Haidhausen),Gewerblicher,Wohnungslage6. GeschossBezugsofort,Bezugsofort,"Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden, Kunststoffboden, Teppichboden Zustand: renovierungsbedürftig / sanierungsbedürftig Weitere Räume: Kelleranteil, Wasch-Trockenraum Haustiere erlaubt ",Baujahr: 1973 Personenaufzug ,1973,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1973Gültigkeit bis 31.01.2028 EffizienzklasseDEndenergieverbrauch 106,00 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartZentralheizung,"HAIDHAUSEN - S-BahnnäheKneipen, Kultur, Kinder und die Isar in nächster Nähe. Mehr als 1.200 Jahre ist Haidhausen alt und damit deutlich älter als München. Früher lebten hier die kleinen Leute, inzwischen zählt das Viertel mit den vielen Cafés und kleinen Läden zu den beliebtesten Wohngegenden. In Haidhausen...",,,,,,,,,,,,,,
3,799.000 €,4, 95 m²,Straße nicht freigegeben,81825 München  (Trudering-Riem),Gewerblicher,KategorieMaisonetteWohnungslage1. GeschossBezugnach Vereinbarung,Bezugnach Vereinbarung,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten Einbauküche Böden: Fliesenboden Zustand: gepflegt Weitere Räume: Kelleranteil ",Baujahr: 1990 Zustand: Altbau (bis 1945) 1 Stellplatz: Duplex ,1990,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1990Wesentliche EnergieträgerGasEffizienzklasseDEndenergieverbrauch 124,90 kWh/(m²·a)  ",EnergieträgerGas,TruderingDer beliebte Stadtteil Trudering im Münchner Südosten bietet neben aktiver und sportlicher Freizeitgestaltung auch zahlreiche Erholungsmöglichkeiten. So lädt die Nähe zum Riemer See an heißen Tagen zum Abkühlen ein und der Wellnessbereich im nahe gelegenen Michaelibad bietet Entspannung pur. Alle wichtigen...,,,,,,,,,,,,,,
4,269.000 €,1, 27 m²,Straße nicht freigegeben,81373 München  (Sendling),Gewerblicher,Bezugsofort,EnergieausweistypVerbrauchsausweis,Baujahr: 1976 Personenaufzug ,,,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2009Wesentliche EnergieträgerGASGültigkeit bis 18.11.2023 EffizienzklasseHEndenergieverbrauch 258,00 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerGasHeizungsartZentralheizung,Der Stadtteil München - Sendling befindet sich in bester Münchner Lage und zählt mittlerweile zu den begehrtesten Wohnvierteln der Landeshauptstadt. Durch die Nähe zum Zentrum und der hervorragenden Infrastruktur erfreut sich das ehemalige Industrie- und Arbeiterviertel gleichermaßen großer Beliebtheit bei Jung und Alt. Das...,,,,,,,,,,,,,,
5,369.000 €,1, 46 m²,Straße nicht freigegeben,81929 München  (Bogenhausen),Gewerblicher,KategorieApartmentWohnungslage1. Geschoss,Wohnungslage1. Geschoss,Zustand: Altbau (bis 1945) 1 Stellplatz ,,,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1985Wesentliche EnergieträgerGasGültigkeit 23.08.2018 bis 22.08.2028 EffizienzklasseCEndenergieverbrauch 89,00 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerGas,"Die Wohnung befindet sich im Zamilapark (Stadteil Bogenhausen) Er liegt zwischen der Lüderitzstraße, dem Denninger Anger, der Bahnstrecke zum Münchner Flughafen sowie der Eggenfeldener Straße. Der Zamilapark wurde im Jahr 1990 als schönste Grünanlage von Bayern ausgezeichnet. Er biete insbesondere auch mit seinem kleinen See...",,,,,,,,,,,,,,
6,920.000 €,5, 121 m²,Straße nicht freigegeben,81829 München  (Trudering-Riem),Gewerblicher,,,Weitere Räume: Kelleranteil ,Baujahr: 2009 ,2009,,,"Maisonette-Wohnung, Baujahr: ca. 2009, Aufteilungsplan: 1, 14, Miteigentumsanteil: 15.033%, Wohnfläche: 121m², Nutzfläche: 12m², Zimmer: 5, Dachterrasse, Keller, Garage vorhanden, im Erd- und Obergeschoss, Sondernutzungsrecht an Garten- und Terrassenfläche ca. 97 m², keine Innenbesichtigung, zum Zeitpunkt der Wertermittlung...",,,,,,,,,,,,,,
7,499.000 €,2," 58,11 m²",Straße nicht freigegeben,81371 München  (Sendling),Gewerblicher,Wohnungslage4. Geschoss,EnergieausweistypVerbrauchsausweis,Zustand: gepflegt ,Baujahr: 1974 Personenaufzug 1 Stellplatz: Tiefgarage ,1974,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeGültigkeit bis 05.06.2029 EffizienzklasseEEndenergieverbrauch 151,00 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerGasHeizungsartZentralheizung,"Lebendige Trendlage in den Koordinaten Großmarkthalle, Altsendling, Ludwigsvorstadt und Isarvorstadt, beste Infrastruktur und ideale öffentliche Verkehrsanbindung, urbane Umgebung mit hohem Freizeitfaktor nahe dem Glockenbach-/Schlachthofviertel und den weitläufigen Isarauen, alle Geschäfte des täglichen Bedarfs, zahlreiche...",,,,,,,,,,,,,,
8,3.090.000 €,3," 195,10 m²",Straße nicht freigegeben,81929 München  (Bogenhausen),Gewerblicher,KategoriePenthouseBezugsofort,Bezugsofort,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten, Loggia, Terrasse Böden: Parkett Ausstattung: neuwertig Weitere Räume: Kelleranteil, Abstellraum Anschlüsse: DSL-Anschluss, Kabelanschluss Haustiere erlaubt ",Baujahr: 2022 Zustand: Neubau Personenaufzug 2 Stellplätze: Tiefgarage ,2022,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2022Wesentliche EnergieträgerGas, ErdwärmeGültigkeit 29.08.2022 bis 28.08.2032 EffizienzklasseAEndenergiebedarf 45,70 kWh/(m²·a)  ","EnergieträgerGasHeizungsartFußbodenheizung, offener Kamin, Zentralheizung","Bogenhausen gilt als einer der beliebtesten und exklusivsten Stadtteile Münchens, welcher durch beeindruckende Mehrfamilienhäuser im Jugendstil, traumhafte Grundstücke und seine geschichtsträchtige Villenbebauung geprägt ist. Zwischen den Häuserzeilen finden sich großzügige Grünanlagen mit viel Raum für Spielplätze und Wiesen...",,,,,,,,,,,,,,
9,2.500.000 €,4, 125 m²,Straße nicht freigegeben,81679 München  (Bogenhausen),Gewerblicher,,,,,,,,"Alt-Bogenhausen gilt als die beliebteste und exklusivste Lage Münchens.Seinen besonderen Charme erhält dieser Stadtteil durch die herrschaftliche, historische Villenbebauung sowie die traumhaften Grundstücke mit altem Baumbestand.Elegante Repräsentanzen und renommierte Unternehmenssitze fügen sich mit...",,,,,,,,,,,,,,
