,street,description,wohnanlage,energy_2,lage,Hausprice,Room,Area,Post_Code,District,Offerer,Year,Status,Floor,Own
0,,"Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden, Kunststoffboden, Teppichboden Zustand: renovierungsbedürftig / sanierungsbedürftig Weitere Räume: Kelleranteil, Wasch-Trockenraum Haustiere erlaubt ",Baujahr: 1973 Personenaufzug ,EnergieträgerFernwärmeHeizungsartZentralheizung,"HAIDHAUSEN - S-BahnnäheKneipen, Kultur, Kinder und die Isar in nächster Nähe. Mehr als 1.200 Jahre ist Haidhausen alt und damit deutlich älter als München. Früher lebten hier die kleinen Leute, inzwischen zählt das Viertel mit den vielen Cafés und kleinen Läden zu den beliebtesten Wohngegenden. In Haidhausen...",225000.0,2,56.9,81669,(Au-Haidhausen),Gewerblicher,1973,,6,Sofort
1,,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten Einbauküche Böden: Fliesenboden Zustand: gepflegt Weitere Räume: Kelleranteil ",Baujahr: 1990 Zustand: Altbau (bis 1945) 1 Stellplatz: Duplex ,EnergieträgerGas,TruderingDer beliebte Stadtteil Trudering im Münchner Südosten bietet neben aktiver und sportlicher Freizeitgestaltung auch zahlreiche Erholungsmöglichkeiten. So lädt die Nähe zum Riemer See an heißen Tagen zum Abkühlen ein und der Wellnessbereich im nahe gelegenen Michaelibad bietet Entspannung pur. Alle wichtigen...,799000.0,4,95.0,81825,(Trudering-Riem),Gewerblicher,1990,,1,Nach Vereinbarung
2,,"Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden, Kunststoffboden, Teppichboden Zustand: renovierungsbedürftig / sanierungsbedürftig Weitere Räume: Kelleranteil, Wasch-Trockenraum Haustiere erlaubt ",Baujahr: 1973 Personenaufzug ,EnergieträgerFernwärmeHeizungsartZentralheizung,"HAIDHAUSEN - S-BahnnäheKneipen, Kultur, Kinder und die Isar in nächster Nähe. Mehr als 1.200 Jahre ist Haidhausen alt und damit deutlich älter als München. Früher lebten hier die kleinen Leute, inzwischen zählt das Viertel mit den vielen Cafés und kleinen Läden zu den beliebtesten Wohngegenden. In Haidhausen...",225000.0,2,56.9,81669,(Au-Haidhausen),Gewerblicher,1973,,6,Sofort
3,,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten Einbauküche Böden: Fliesenboden Zustand: gepflegt Weitere Räume: Kelleranteil ",Baujahr: 1990 Zustand: Altbau (bis 1945) 1 Stellplatz: Duplex ,EnergieträgerGas,TruderingDer beliebte Stadtteil Trudering im Münchner Südosten bietet neben aktiver und sportlicher Freizeitgestaltung auch zahlreiche Erholungsmöglichkeiten. So lädt die Nähe zum Riemer See an heißen Tagen zum Abkühlen ein und der Wellnessbereich im nahe gelegenen Michaelibad bietet Entspannung pur. Alle wichtigen...,799000.0,4,95.0,81825,(Trudering-Riem),Gewerblicher,1990,,1,Nach Vereinbarung
4,,Baujahr: 1976 Personenaufzug ,,EnergieträgerGasHeizungsartZentralheizung,Der Stadtteil München - Sendling befindet sich in bester Münchner Lage und zählt mittlerweile zu den begehrtesten Wohnvierteln der Landeshauptstadt. Durch die Nähe zum Zentrum und der hervorragenden Infrastruktur erfreut sich das ehemalige Industrie- und Arbeiterviertel gleichermaßen großer Beliebtheit bei Jung und Alt. Das...,269000.0,1,27.0,81373,(Sendling),Gewerblicher,,,,
5,,Zustand: Altbau (bis 1945) 1 Stellplatz ,,EnergieträgerGas,"Die Wohnung befindet sich im Zamilapark (Stadteil Bogenhausen) Er liegt zwischen der Lüderitzstraße, dem Denninger Anger, der Bahnstrecke zum Münchner Flughafen sowie der Eggenfeldener Straße. Der Zamilapark wurde im Jahr 1990 als schönste Grünanlage von Bayern ausgezeichnet. Er biete insbesondere auch mit seinem kleinen See...",369000.0,1,46.0,81929,(Bogenhausen),Gewerblicher,,,1,
6,,Weitere Räume: Kelleranteil ,Baujahr: 2009 ,,"Maisonette-Wohnung, Baujahr: ca. 2009, Aufteilungsplan: 1, 14, Miteigentumsanteil: 15.033%, Wohnfläche: 121m², Nutzfläche: 12m², Zimmer: 5, Dachterrasse, Keller, Garage vorhanden, im Erd- und Obergeschoss, Sondernutzungsrecht an Garten- und Terrassenfläche ca. 97 m², keine Innenbesichtigung, zum Zeitpunkt der Wertermittlung...",920000.0,5,121.0,81829,(Trudering-Riem),Gewerblicher,2009,,,
7,,Zustand: gepflegt ,Baujahr: 1974 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerGasHeizungsartZentralheizung,"Lebendige Trendlage in den Koordinaten Großmarkthalle, Altsendling, Ludwigsvorstadt und Isarvorstadt, beste Infrastruktur und ideale öffentliche Verkehrsanbindung, urbane Umgebung mit hohem Freizeitfaktor nahe dem Glockenbach-/Schlachthofviertel und den weitläufigen Isarauen, alle Geschäfte des täglichen Bedarfs, zahlreiche...",499000.0,2,58.11,81371,(Sendling),Gewerblicher,1974,,4,
8,,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten, Loggia, Terrasse Böden: Parkett Ausstattung: neuwertig Weitere Räume: Kelleranteil, Abstellraum Anschlüsse: DSL-Anschluss, Kabelanschluss Haustiere erlaubt ",Baujahr: 2022 Zustand: Neubau Personenaufzug 2 Stellplätze: Tiefgarage ,"EnergieträgerGasHeizungsartFußbodenheizung, offener Kamin, Zentralheizung","Bogenhausen gilt als einer der beliebtesten und exklusivsten Stadtteile Münchens, welcher durch beeindruckende Mehrfamilienhäuser im Jugendstil, traumhafte Grundstücke und seine geschichtsträchtige Villenbebauung geprägt ist. Zwischen den Häuserzeilen finden sich großzügige Grünanlagen mit viel Raum für Spielplätze und Wiesen...",3090000.0,3,195.1,81929,(Bogenhausen),Gewerblicher,2022,,,Sofort
9,,,,,"Alt-Bogenhausen gilt als die beliebteste und exklusivste Lage Münchens.Seinen besonderen Charme erhält dieser Stadtteil durch die herrschaftliche, historische Villenbebauung sowie die traumhaften Grundstücke mit altem Baumbestand.Elegante Repräsentanzen und renommierte Unternehmenssitze fügen sich mit...",2500000.0,4,125.0,81679,(Bogenhausen),Gewerblicher,,,,
